Country,Year,Gender,Cause of death,Age/All age,Age/0-4,Age/5-14,Age/15-59,Age/60+,Country Code,
Afghanistan,2019,Total,Injury,17.3%,12.0%,42.2%,26.1%,11.5%,AFG,
Albania,2019,Total,Injury,3%,5.2%,39.3%,19.4%,1.5%,ALB,
Algeria,2019,Total,Injury,7.7%,5.7%,44.1%,23.5%,26.0%,DZA,
American Samoa,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,ASM,
Andorra,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,AND,
Angola,2019,Total,Injury,9.1%,5.0%,22.0%,15.1%,4.6%,AGO,
Antigua and Barbuda,2019,Total,Injury,5.4%,0.3%,32.4%,15.4%,2.3%,ATG,
Argentina,2019,Total,Injury,5.7%,6.0%,36.7%,21.6%,2.2%,ARG,
Armenia,2019,Total,Injury,4.7%,7.8%,34.3%,15.6%,2.2%,ARM,
Aruba,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,ABW,
Australia,2019,Total,Injury,5.9%,6.1%,32.6%,20.4%,3.9%,AUS,
Austria,2019,Total,Injury,5.4%,6.0%,25.8%,18.9%,4.0%,AUT,
Azerbaijan,2019,Total,Injury,3.8%,6.9%,28.1%,10.8%,1.0%,AZE,
"Bahamas, The",2019,Total,Injury,13.9%,6.1%,63.2%,26.1%,4.8%,BHS,
Bahrain,2019,Total,Injury,8.9%,2.8%,27.3%,21.1%,1.4%,BHR,
Bangladesh,2019,Total,Injury,7.1%,5.6%,33.3%,14.1%,2.9%,BGD,
Barbados,2019,Total,Injury,4.3%,11.8%,10.1%,12.7%,2.8%,BRB,
Belarus,2019,Total,Injury,5.7%,7.5%,42.8%,18.9%,2.6%,BLR,
Belgium,2019,Total,Injury,6.1%,7.3%,30.9%,22.2%,4.5%,BEL,
Belize,2019,Total,Injury,18.8%,6.6%,45.0%,36.3%,5.6%,BLZ,
Benin,2019,Total,Injury,9.2%,4.8%,23.8%,16.8%,5.7%,BEN,
Bermuda,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,BMU,
Bhutan,2019,Total,Injury,9%,7.1%,34.1%,18.0%,5.6%,BTN,
Bolivia,2019,Total,Injury,8.7%,7.3%,41.6%,24.4%,4.2%,BOL,
Bosnia and Herzegovina,2019,Total,Injury,3.8%,4.1%,45.1%,14.1%,2.2%,BIH,
Botswana,2019,Total,Injury,9.4%,6.4%,29.2%,14.1%,3.7%,BWA,
Brazil,2019,Total,Injury,11.6%,5.9%,36.0%,30.3%,3.9%,BRA,
British Virgin Islands,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,VGB,
Brunei Darussalam,2019,Total,Injury,5.0%,2.5%,24.4%,10.0%,2.3%,BRN,
Bulgaria,2019,Total,Injury,2.5%,6.3%,31.3%,9.2%,1.4%,BGR,
Burkina Faso,2019,Total,Injury,11.1%,5.7%,22.5%,20.6%,7.0%,BFA,
Burundi,2019,Total,Injury,12.1%,7.2%,25.2%,18.0%,7.0%,BDI,
Cabo Verde,2019,Total,Injury,14.1%,7.3%,50.9%,30.1%,6.5%,CPV,
Cambodia,2019,Total,Injury,9.2%,7.1%,33.0%,16.8%,4.2%,KHM,
Cameroon,2019,Total,Injury,10.5%,5.2%,24.3%,15.6%,6.4%,CMR,
Canada,2019,Total,Injury,5.4%,6.4%,36.9%,17.9%,3.6%,CAN,
Cayman Islands,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,CYM,
Central African Republic,2019,Total,Injury,9%,3.0%,21.0%,16.2%,4.6%,CAF,
Chad,2019,Total,Injury,9.6%,5.3%,24.3%,16.6%,6.4%,TCD,
Channel Islands,2019,Total,Injury,N/A,N/A,N/A,N/A,N/A,CHI,
Chile,2019,Total,Injury,7.8%,7.0%,34.5%,26.1%,3.5%,CHL,
